Food Name,Protein (g),Fat (g),Carbohydrates (g),Calories,Sucrose (g),Glucose (g),Fructose (g),Lactose (g),Maltose (g),Sugar (g),Galactose (g),Fiber (g),Calcium (mg),Iron (mg),Magnesium (mg),Phosphorus (mg),Potasssium (mg),Sodium (mg),Zinc (mg),Cupper (mg),Manganese (mg),Selenium (mcg),Vitamin A (IU),Retinol (mcg),Retinol Equivalents (mcg),Beta Carotene (mcg),Alpha Carotene (mcg),Vitamin E (mg),Vitamin D (mcg),Vitamin D2 (Ergocalciferol)  (mcg),Vitamin D3 (Cholecalciferol) (mcg),Beta Cryptoxanthin (mcg),Lycopene (mcg),Lutein and Zeaxanthin (mcg),Vitamin C (mg),Thiamin (B1) (mg),Riboflavin (B2) (mg),Niacin (B3) (mg),Vitamin B5 (mg),Vitamin B6 (mg),Folate (B9) (mcg),Vitamin B12,Choline (mg),Cholesterol (mg),Saturated Fat (g),Net Carbs
"Milk, low sodium, fluid",3.1,3.46,4.46,61,0,0,0,0,0,4.46,0,0,101,0.05,5,86,253,3,0.38,0.01,0.004,2,105,28,29,7,0,0.08,1.3,0,1.3,0,0,0,0.9,0.02,0.105,0.043,0.304,0.034,5,0.36,16,14,2.154,4.46
"Milk, dry, whole, with added vitamin D",26.32,26.71,38.42,496,0,0,0,0,0,38.42,0,0,912,0.47,85,776,1330,371,3.34,0.08,0.04,16.3,934,253,258,55,0,0.58,10.5,0,10.5,0,0,0,8.6,0.283,1.205,0.646,2.271,0.302,37,3.25,119.3,97,16.742,38.42
"Milk, dry, nonfat, regular, without added vitamin A and vitamin D",36.16,0.77,51.98,362,0,0,0,0,0,51.98,0,0,1257,0.32,110,968,1794,535,4.08,0.041,0.02,27.3,22,6,6,1,0,0,0,0,0,0,0,0,6.8,0.415,1.55,0.951,3.568,0.361,50,4.03,169.2,20,0.499,51.98
"Milk, dry, nonfat, instant, with added vitamin A and vitamin D",35.1,0.72,52.19,358,0,0,0,0,0,52.19,0,0,1231,0.31,117,985,1705,549,4.41,0.041,0.02,27.3,2365,709,709,1,0,0.01,11,0,11,0,0,0,5.6,0.413,1.744,0.891,3.235,0.345,50,3.99,167.8,18,0.467,52.19
"Milk, dry, nonfat, calcium reduced",35.5,0.2,51.8,354,0,0,0,0,0,0,0,0,280,0.32,60,1011,680,2280,4.03,0.016,0.008,27.3,8,1,2,0,0,0,0,0,0,0,0,0,6.7,0.163,1.642,0.665,3.312,0.298,50,3.98,0,2,0.124,51.8
"Milk, buttermilk, dried",34.3,5.78,49,387,0,0,0,0,0,49,0,0,1184,0.3,110,933,1592,517,4.02,0.111,0.023,20.3,175,48,49,9,0,0.1,0.5,0,0.5,0,0,0,5.7,0.392,1.579,0.876,3.17,0.338,47,3.82,118.7,69,3.598,49
"Milk, chocolate, fluid, commercial, whole, with added vitamin A and vitamin D",3.17,3.39,10.34,83,0,0,0,0,0,9.54,0,0.8,112,0.24,13,101,167,60,0.41,0.065,0.077,1.9,98,26,27,7,0,0.07,1.3,0,1.3,0,0,0,0.9,0.037,0.162,0.125,0.295,0.04,5,0.33,17,12,2.104,9.54
"Milk, chocolate, fluid, commercial, reduced fat, with added vitamin A and vitamin D",2.99,1.9,12.13,76,4.79,0.53,0.41,3.83,0,9.55,0,0.7,109,0.24,14,102,169,66,0.39,0.075,0.062,3.4,227,63,64,11,0,0.04,1.2,0,1.2,0,0,0,0,0.045,0.183,0.164,0.539,0.024,2,0.33,17.1,8,1.177,11.43
"Milk, chocolate, lowfat, with added vitamin A and vitamin D",3.46,1,9.86,62,0,0,0,0,0,9.94,0,0.1,129,0.23,13,96,172,65,0.43,0.028,0.03,1.9,174,51,52,2,0,0,1.1,0,1.1,0,0,0,0.4,0.031,0.247,0.124,0.43,0.047,3,0.23,17,5,0.584,9.76
"Milk, chocolate beverage, hot cocoa, homemade",3.52,2.34,10.74,77,5,0.01,0.01,4.63,0.01,9.66,0.01,1,114,0.42,23,105,197,44,0.63,0.103,0.013,2.7,176,51,51,4,0,0.03,1.1,0,1.1,0,0,0,0.2,0.039,0.182,0.133,0.328,0.04,5,0.49,15.6,8,1.431,9.74
"Milk, goat, fluid, with added vitamin D",3.56,4.14,4.45,69,0,0,0,0,0,4.45,0,0,134,0.05,14,111,204,50,0.3,0.046,0.018,1.4,198,56,57,7,0,0.07,1.3,0,1.3,0,0,0,1.3,0.048,0.138,0.277,0.31,0.046,1,0.07,16,11,2.667,4.45
"Milk, human, mature, fluid",1.03,4.38,6.89,70,0,0,0,0,0,6.89,0,0,32,0.03,3,14,51,17,0.17,0.052,0.026,1.8,212,60,61,7,0,0.08,0.1,0,0.1,0,0,0,5,0.014,0.036,0.177,0.223,0.011,5,0.05,16,14,2.009,6.89
"Milk, indian buffalo, fluid",3.75,6.89,5.18,97,0,0,0,0,0,0,0,0,169,0.12,31,117,178,52,0.22,0.046,0.018,0,178,53,53,0,0,0,0,0,0,0,0,0,2.3,0.052,0.135,0.091,0.192,0.023,6,0.36,0,19,4.597,5.18
"Milk, sheep, fluid",5.98,7,5.36,108,0,0,0,0,0,0,0,0,193,0.1,18,158,137,44,0.54,0.046,0.018,1.7,147,44,44,0,0,0,0,0,0,0,0,0,4.2,0.065,0.355,0.417,0.407,0.06,7,0.71,0,27,4.603,5.36
"Milk shakes, thick chocolate",3.05,2.7,21.15,119,0,0,0,0,0,20.85,0,0.3,132,0.31,16,126,224,111,0.48,0.065,0.039,1.9,67,18,18,4,0,0.05,1,0,1,0,0,0,0,0.047,0.222,0.124,0.363,0.025,5,0.32,17,11,1.681,20.85
"Milk shakes, thick vanilla",3.86,3.03,17.75,112,0,0,0,0,0,17.75,0,0,146,0.1,12,115,183,95,0.39,0.051,0.014,2.3,91,25,25,5,0,0.05,1.2,0,1.2,0,0,0,0,0.03,0.195,0.146,0.368,0.042,7,0.52,14.3,12,1.886,17.75
"Whey, acid, fluid",0.76,0.09,5.12,24,0,0,0,0,0,5.12,0,0,103,0.08,10,78,143,48,0.43,0.003,0.002,1.8,7,2,2,0,0,0,0,0,0,0,0,0,0.1,0.042,0.14,0.079,0.381,0.042,2,0.18,16,1,0.057,5.12
"Whey, acid, dried",11.73,0.54,73.45,339,0,0,0,0,0,73.45,0,0,2054,1.24,199,1349,2289,968,6.31,0.05,0.015,27.3,59,17,17,1,0,0,0,0,0,0,0,0,0.9,0.622,2.06,1.16,5.632,0.62,33,2.5,225,3,0.342,73.45
"Whey, sweet, fluid",0.85,0.36,5.14,27,0,0,0,0,0,5.14,0,0,47,0.06,8,46,161,54,0.13,0.004,0.001,1.9,12,3,3,1,0,0,0,0,0,0,0,0,0.1,0.036,0.158,0.074,0.383,0.031,1,0.28,16,2,0.23,5.14
"Whey, sweet, dried",12.93,1.07,74.46,353,0,0,0,0,0,74.46,0,0,796,0.88,176,932,2080,1079,1.97,0.07,0.009,27.2,30,8,8,2,0,0.02,0,0,0,0,0,0,1.5,0.519,2.208,1.258,5.62,0.584,12,2.37,225,6,0.684,74.46
"Yogurt, plain, whole milk, 8 grams protein per 8 ounce",3.47,3.25,4.66,61,0,0,0,0,0,4.66,0,0,121,0.05,12,95,155,46,0.59,0.009,0.004,2.2,99,27,27,5,0,0.06,0.1,0,0.1,0,0,0,0.5,0.029,0.142,0.075,0.389,0.032,7,0.37,15.2,13,2.096,4.66
"Yogurt, plain, low fat, 12 grams protein per 8 ounce",5.25,1.55,7.04,63,0,0,0,0,0,7.04,0,0,183,0.08,17,144,234,70,0.89,0.013,0.004,3.3,51,14,14,2,0,0.03,0,0,0,0,0,0,0.8,0.044,0.214,0.114,0.591,0.049,11,0.56,15.2,6,1,7.04
"Yogurt, plain, skim milk, 13 grams protein per 8 ounce",5.73,0.18,7.68,56,0,0,0,0,0,7.68,0,0,199,0.09,19,157,255,77,0.97,0.015,0.005,3.6,7,2,2,0,0,0,0,0,0,0,0,0,0.9,0.048,0.234,0.124,0.641,0.053,12,0.61,15.2,2,0.116,7.68
"Yogurt, vanilla, low fat, 11 grams protein per 8 ounce",4.93,1.25,13.8,85,0,0,0,0,0,13.8,0,0,171,0.07,16,135,219,66,0.83,0.013,0.004,4.9,43,12,12,2,0,0.02,0,0,0,0,0,0,0.8,0.042,0.201,0.107,0.552,0.045,11,0.53,15.2,5,0.806,13.8
"Yogurt, fruit, low fat, 9 grams protein per 8 ounce",3.98,1.15,18.64,99,0,0,0,0,0,18.64,0,0,138,0.06,13,109,177,53,0.67,0.079,0.064,2.8,40,11,11,2,0,0.02,0,0,0,0,0,0,0.6,0.034,0.162,0.086,0.446,0.037,9,0.43,15.2,5,0.742,18.64
"Yogurt, fruit, low fat, 10 grams protein per 8 ounce",4.37,1.08,19.05,102,0,0,0,0,0,19.05,0,0,152,0.07,15,119,195,58,0.74,0.08,0.065,3.1,36,10,10,2,0,0.02,0,0,0,0,0,0,0.7,0.037,0.178,0.095,0.489,0.04,9,0.47,14,4,0.697,19.05
"Yogurt, fruit, low fat, 11 grams protein per 8 ounce",4.86,1.41,18.6,105,0,0,0,0,0,0,0,0,169,0.07,16,133,216,65,0.82,0.08,0.065,3.1,60,0,0,0,0,0,0,0,0,0,0,0,0.7,0.041,0.198,0.105,0.544,0.045,10,0.52,0,6,0.909,18.6
"Egg, whole, raw, fresh",12.56,9.51,0.72,143,0,0.37,0,0,0,0.37,0,0,56,1.75,12,198,138,142,1.29,0.072,0.028,30.7,540,160,160,0,0,1.05,2,0,2,9,0,503,0,0.04,0.457,0.075,1.533,0.17,47,0.89,293.8,372,3.126,0.72
"Egg, white, raw, fresh",10.9,0.17,0.73,52,0.07,0.34,0.07,0.07,0.07,0.71,0.07,0,7,0.08,11,15,163,166,0.03,0.023,0.011,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0.439,0.105,0.19,0.005,4,0.09,1.1,0,0,0.73
"Egg, yolk, raw, fresh",15.86,26.54,3.59,322,0.07,0.18,0.07,0.07,0.07,0.56,0.07,0,129,2.73,5,390,109,48,2.3,0.077,0.055,56,1442,371,381,88,38,2.58,5.4,0,5.4,33,0,1094,0,0.176,0.528,0.024,2.99,0.35,146,1.95,820.2,1085,9.551,3.59
"Egg, whole, cooked, fried",13.61,14.84,0.83,196,0,0.4,0,0,0,0.4,0,0,62,1.89,13,215,152,207,1.39,0.078,0.03,33.1,787,216,219,35,0,1.31,2.2,0,2.2,10,0,543,0,0.044,0.495,0.082,1.66,0.184,51,0.97,317.1,401,4.323,0.83
"Egg, whole, cooked, hard-boiled",12.58,10.61,1.12,155,0,0,0,0,0,1.12,0,0,50,1.19,10,172,126,124,1.05,0.013,0.026,30.8,520,148,149,11,0,1.03,2.2,0,2.2,10,0,353,0,0.066,0.513,0.064,1.398,0.121,44,1.11,293.8,373,3.267,1.12
"Egg, whole, cooked, poached",12.51,9.47,0.71,143,0,0.37,0,0,0,0.37,0,0,56,1.75,12,197,138,297,1.29,0.072,0.028,30.6,538,159,160,0,0,1.04,2,0,2,9,0,501,0,0.032,0.387,0.063,1.527,0.144,35,0.71,234.1,370,3.113,0.71
"Egg, yolk, dried",33.63,59.13,0.66,669,0,0.23,0,0,0,0.23,0,0,289,9.56,26,1040,264,149,7.73,0,0.185,139.3,1590,477,477,0,79,4.81,10.4,0,10.4,70,0,1133,0,0.387,1.257,0.083,9.063,0.742,209,5.11,2403.3,2307,20.334,0.66
"Egg, duck, whole, fresh, raw",12.81,13.77,1.45,185,0,0,0,0,0,0.93,0,0,64,3.85,17,220,222,146,1.41,0.062,0.038,36.4,674,192,194,14,0,1.34,1.7,0,1.7,12,0,459,0,0.156,0.404,0.2,1.862,0.25,80,5.4,263.4,884,3.681,1.45
"Egg, goose, whole, fresh, raw",13.87,13.27,1.35,185,0,0,0,0,0,0.94,0,0,60,3.64,16,208,210,138,1.33,0.062,0.038,36.9,650,185,187,13,0,1.29,1.7,0,1.7,12,0,442,0,0.147,0.382,0.189,1.759,0.236,76,5.1,263.4,852,3.595,1.35
"Egg, quail, whole, fresh, raw",13.05,11.09,0.41,158,0,0,0,0,0,0.4,0,0,64,3.65,13,226,132,141,1.47,0.062,0.038,32,543,155,156,11,0,1.08,1.4,0,1.4,10,0,369,0,0.13,0.79,0.15,1.761,0.15,66,1.58,263.4,844,3.557,0.41
"Egg, turkey, whole, fresh, raw",13.68,11.88,1.15,171,0,0,0,0,0,0,0,0,99,4.1,13,170,142,151,1.58,0.062,0.038,34.3,554,166,166,0,0,0,0,0,0,0,0,0,0,0.11,0.47,0.024,1.889,0.131,71,1.69,0,933,3.632,1.15
"Egg substitute, powder",55.5,13,21.8,444,0,0,0,0,0,21.8,0,0,326,3.16,65,478,744,800,1.82,0.207,0.08,127.7,1230,369,369,0,0,1.26,0,0,0,0,0,0,0.8,0.226,1.76,0.577,3.384,0.143,125,3.52,117.6,572,3.766,21.8
"Butter, without salt",0.85,81.11,0.06,717,0,0,0,0,0,0.06,0,0,24,0.02,2,24,24,11,0.09,0.016,0.004,1,2499,671,684,158,0,2.32,0,0,0,0,0,0,0,0.005,0.034,0.042,0.11,0.003,3,0.17,18.8,215,50.489,0.06
"Cheese, parmesan, shredded",37.86,27.34,3.41,415,0,0,0,0,0,0.9,0,0,1253,0.87,51,735,97,1696,3.19,0.037,0.023,23.9,865,223,229,73,0,0.25,0.5,0,0.5,0,0,0,0,0.041,0.352,0.287,0.527,0.105,8,1.4,15.4,72,17.37,3.41
"Milk, nonfat, fluid, without added vitamin A and vitamin D (fat free or skim)",3.37,0.08,4.96,34,0,0,0,5.09,0,5.09,0,0,122,0.03,11,101,156,42,0.42,0.013,0.003,3.1,15,1,2,7,0,0.01,0,0,0,0,0,0,0,0.045,0.182,0.094,0.357,0.037,5,0.5,15.6,2,0.051,4.96
"Milk, reduced fat, fluid, 2% milkfat, with added nonfat milk solids, without added vitamin A",3.95,1.98,5.49,56,0,0,0,0,0,0,0,0,143,0.06,15,112,182,59,0.41,0.011,0.002,2.6,75,16,17,0,0,0,0,0,0,0,0,0,1.1,0.045,0.194,0.101,0.339,0.046,5,0.39,0,8,1.232,5.49
"Milk, canned, evaporated, with added vitamin A",6.81,7.56,10.04,134,0,0,0,0,0,0,0,0,261,0.19,24,203,303,106,0.77,0.016,0.006,2.3,397,0,0,0,0,0,0,0,0,0,0,0,1.9,0.047,0.316,0.194,0.638,0.05,8,0.16,0,29,4.591,10.04
"Milk, dry, nonfat, regular, with added vitamin A and vitamin D",36.16,0.77,51.98,362,0,0,0,0,0,51.98,0,0,1257,0.32,110,968,1794,535,4.08,0.041,0.02,27.3,2179,653,653,1,0,0,11,0,11,0,0,0,6.8,0.415,1.55,0.951,3.568,0.361,50,4.03,169.2,20,0.499,51.98
"Milk, dry, nonfat, instant, without added vitamin A and vitamin D",35.1,0.72,52.19,358,0,0,0,0,0,52.19,0,0,1231,0.31,117,985,1705,549,4.41,0.041,0.02,27.3,15,4,4,1,0,0.01,0,0,0,0,0,0,5.6,0.413,1.744,0.891,3.23,0.345,50,3.99,167.8,18,0.47,52.19
"Cheese, goat, hard type",30.52,35.59,2.17,452,0,0,0,0,0,2.17,0,0,895,1.88,54,729,48,423,1.59,0.627,0.252,5.5,1745,478,486,91,0,0.31,0.7,0,0.7,0,0,0,0,0.14,1.19,2.4,0.41,0.08,4,0.12,15.4,105,24.609,2.17
"Cheese, goat, semisoft type",21.58,29.84,0.12,364,0,0,0,0,0,0.12,0,0,298,1.62,29,375,158,415,0.66,0.564,0.093,3.8,1464,401,407,77,0,0.26,0.5,0,0.5,0,0,0,0,0.072,0.676,1.148,0.19,0.06,2,0.22,15.4,79,20.639,0.12
"Cheese, goat, soft type",18.52,21.08,0,264,0,0,0,0,0,0,0,0,140,1.9,16,256,26,459,0.92,0.732,0.1,2.8,1033,283,288,54,0,0.18,0.4,0,0.4,0,0,0,0,0.07,0.38,0.43,0.68,0.25,12,0.19,15.4,46,14.575,0
"Egg, yolk, raw, frozen, salted, pasteurized",14.07,22.93,1.77,275,0,0.07,0,0,0,0.07,0,0,113,3.4,7,414,111,3487,2.87,0.121,0.065,56.9,1043,313,313,0,38,2.28,3.1,0,3.1,33,0,712,0,0.14,0.427,0.027,3.167,0.402,112,1.61,705,912,7.159,1.77
"Cheese substitute, mozzarella",11.47,12.22,23.67,248,0,0,0,0,0,23.67,0,0,610,0.4,41,583,455,685,1.92,0.11,0.028,19.2,1457,437,437,0,0,0.11,0,0,0,0,0,0,0.1,0.026,0.444,0.317,0.083,0.051,11,0.81,13.7,0,3.711,23.67
"Cheese sauce, prepared from recipe",10.33,14.92,5.48,197,0.08,0,0,0.07,0.05,0.19,0,0.1,311,0.35,19,229,142,493,1.26,0.019,0.04,6.6,310,80,82,26,0,0.09,1,0,1,0,0,0,0.6,0.044,0.243,0.204,0.233,0.045,10,0.35,5.1,38,8.034,5.38
"Cheese, mexican, queso anejo",21.44,29.98,4.63,373,0,0,0,0,0,4.63,0,0,680,0.47,28,444,87,1131,2.94,0.008,0.037,14.5,220,64,64,4,0,0.26,0.5,0,0.5,0,0,0,0,0.02,0.209,0.032,0.252,0.047,1,1.38,15.4,105,19.033,4.63
"Cheese, mexican, queso asadero",22.6,28.26,2.87,356,0,0,0,0,0,2.87,0,0,661,0.51,26,443,86,705,3.02,0.026,0.036,14.5,190,55,55,4,0,0.24,0.5,0,0.5,0,0,0,0,0.021,0.223,0.181,0.231,0.053,8,1,15.4,105,17.939,2.87
"Cheese, mexican, queso chihuahua",21.56,29.68,5.56,374,0,0,0,0,0,5.56,0,0,651,0.47,23,442,52,617,3.5,0.024,0.071,14.5,193,56,56,4,0,0.26,0.5,0,0.5,0,0,0,0,0.018,0.225,0.15,0.279,0.055,2,1.03,15.4,105,18.843,5.56
"Cheese, low fat, cheddar or colby",24.35,7,1.91,173,0,0,0,0,0,0.52,0,0,415,0.42,16,484,66,873,1.82,0.021,0.006,14.5,207,60,60,4,0,0.06,0.1,0,0.1,0,0,0,0,0.012,0.221,0.051,0.183,0.045,11,0.49,15.4,21,4.342,1.91
"Cheese, low-sodium, cheddar or colby",24.35,32.62,1.91,398,0,0,0,0,0,0.49,0,0,703,0.72,27,484,112,21,3.09,0.036,0.011,14.5,996,257,264,84,0,0.28,0.6,0,0.6,0,0,0,0,0.021,0.375,0.086,0.311,0.076,18,0.83,15.4,100,20.768,1.91
"Egg, whole, raw, frozen, pasteurized",12.33,9.95,1.01,147,0,0.25,0,0,0,0.25,0,0,62,1.74,9,193,135,128,1.32,0.053,0.032,37.2,570,171,171,0,0,0.72,2.6,0,2.6,9,0,471,0,0.067,0.523,0.103,1.57,0.188,87,1,268.3,372,3.382,1.01
"Egg, white, raw, frozen, pasteurized",10.2,0,1.04,48,0,0.25,0,0,0,0.25,0,0,8,0.04,11,13,169,169,0.07,0.032,0.007,9.2,0,0,0,0,0,0,0,0,0,0,0,20,0,0.023,0.423,0.093,0.147,0.005,10,0.03,2.5,0,0,1.04
"Egg, white, dried",81.1,0,7.8,382,0,0,0,0,0,5.4,0,0,62,0.15,88,111,1125,1280,0.1,0.114,0.007,125.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,2.53,0.865,0.775,0.036,18,0.18,8.4,0,0,7.8
"Milk, reduced fat, fluid, 2% milkfat, without added vitamin A and vitamin D",3.3,1.98,4.8,50,0.01,0.01,0.01,5.01,0.01,5.06,0.02,0,120,0.02,11,92,140,47,0.48,0.006,0.014,2.5,102,27,28,7,0,0.03,0,0,0,0,0,0,0.2,0.039,0.185,0.092,0.356,0.038,5,0.53,16.4,8,1.257,4.8
"Milk, fluid, 1% fat, without added vitamin A and vitamin D",3.37,0.97,4.99,42,0,0,0,5.2,0,5.2,0,0,125,0.03,11,95,150,44,0.42,0.01,0.003,3.3,47,13,14,2,0,0.01,0,0,0,0,0,0,0,0.02,0.185,0.093,0.361,0.037,5,0.47,17.7,5,0.633,4.99
"Sour cream, reduced fat",7,14.1,7,181,0,0,0,0,0,0.3,0,0,141,0.06,11,85,211,70,0.27,0.01,0,4.1,436,117,119,27,0,0.4,0.3,0,0.3,0,0,0,0.9,0.04,0.24,0.07,0,0.02,11,0.3,19.2,35,8.7,7
"Sour cream, light",3.5,10.6,7.1,136,0,0,0,0,0,0.22,0,0,141,0.07,10,71,212,83,0.5,0.016,0,3.1,328,88,90,21,0,0.3,0.2,0,0.2,0,0,0,0.9,0.04,0.12,0.07,0,0.02,11,0.42,19.2,35,6.6,7.1
"Sour cream, fat free",3.1,0,15.6,74,0,0,0,0,0,0.39,0,0,125,0,10,95,129,141,0.5,0.016,0,5.3,255,72,73,9,0,0,0,0,0,0,0,0,0,0.04,0.15,0.07,0,0.02,11,0.3,19.2,9,0,15.6
"USDA Commodity, cheese, cheddar, reduced fat",27.2,18.3,2,282,0,0,0,0,0,0.58,0,0,905,0.13,35,583,93,725,4.3,0.021,0,15.5,633,142,150,95,0,0.16,0.3,0,0.3,0,0,0,0,0.03,0.3,0.06,0,0.084,20,1.66,15.4,56,11.58,2
"Yogurt, vanilla or lemon flavor, nonfat milk, sweetened with low-calorie sweetener",3.86,0.18,7.5,43,0,0,0,0,0,7.5,0,0,143,0.12,13,109,177,59,0.67,0.079,0,3.1,6,2,2,0,0,0,0,0,0,0,0,0,1.1,0.034,0.162,0.086,0,0.037,8,0.43,15.2,2,0.116,7.5
"Parmesan cheese topping, fat free",40,5,40,370,0,0,0,0,0,1.5,0,0,800,5,40,700,600,1150,3,0.02,0,43.3,151,39,40,13,0,0.04,0,0,0,0,0,0,0,0.05,0.05,0.2,0,0.1,25,1.1,15.4,20,3.11,40
"Cheese, cream, fat free",15.69,1,7.66,105,0.64,0,0,4.84,0,5.48,0,0,351,0.19,22,523,278,702,1.5,0.036,0.017,4.9,53,10,11,11,0,0.02,0,0,0,0,0,0,0,0.04,0.265,0.23,0.84,0.05,35,0.95,65.2,12,0.644,7.66
"Yogurt, chocolate, nonfat milk",3.53,0,23.53,112,0,0,0,0,0,14.97,0,1.2,88,0.42,40,166,339,135,1.13,0.209,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047,0.215,0.223,0,0.047,12,0.5,15.2,1,0,22.33
KRAFT CHEEZ WHIZ Pasteurized Process Cheese Sauce,12,21,9.2,276,0,0,0,0,0,6.7,0,0.3,359,0.19,0,806,240,1638,1.64,0,0,0,649,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0.24,0,0,0,0,0,0,75,13.1,8.9
KRAFT CHEEZ WHIZ LIGHT Pasteurized Process Cheese Product,16.3,9.5,16.2,215,0,0,0,0,0,8.2,0,0.2,418,0.16,0,943,297,1705,2.36,0,0,0,628,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0.33,0,0,0,0,0,0,35,6.4,16
KRAFT FREE Singles American Nonfat Pasteurized Process Cheese Product,22.7,1,11.7,148,0,0,0,0,0,6.7,0,0.2,712,0.05,0,923,236,1298,2.5,0,0,0,2166,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.28,0,0,0,0,0,0,16,0.7,11.5
KRAFT VELVEETA Pasteurized Process Cheese Spread,16.3,22,9.8,303,0,0,0,0,0,8.1,0,0,466,0.18,0,863,335,1499,1.84,0,0,0,1107,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.35,0,0,0,0,0,0,80,14.4,9.8
KRAFT VELVEETA LIGHT Reduced Fat Pasteurized Process Cheese Product,19.6,10.6,11.8,222,0,0,0,0,0,8.5,0,0,574,0.14,0,1024,345,1586,2.49,0,0,0,982,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.65,0,0,0,0,0,0,42,7.1,11.8
KRAFT BREAKSTONE'S Reduced Fat Sour Cream,4.5,12,6.5,152,0,0,0,0,0,6.4,0,0.1,161,0.06,0,110,210,59,0,0,0,0,1053,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0,0,0,0,0,0,0,50,7.6,6.4
KRAFT BREAKSTONE'S FREE Fat Free Sour Cream,4.7,1.3,15.1,91,0,0,0,0,0,7.2,0,0,141,0.05,0,116,219,72,0,0,0,0,679,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,9,0.8,15.1
"Cream, half and half, fat free",2.6,1.4,9,59,0,0,0,0,0,5,0,0,96,0,16,151,206,100,0.81,0.016,0.002,2.9,43,12,12,3,0,0.04,0,0,0,0,0,0,0.7,0.056,0.237,0.124,0.459,0.062,4,0.52,15,5,0.841,9
Reddi Wip Fat Free Whipped Topping,3,5,25,149,0,0,0,0,0,16,0,0.4,108,0.03,8,68,108,72,0.31,0.019,0,3,175,48,49,9,0,0.09,0,0,0,0,0,0,0,0.148,0.619,0.364,0,0.123,17,1.48,0,16,2.869,24.6
"Milk, chocolate, fluid, commercial, reduced fat, with added calcium",2.99,1.9,12.13,78,4.79,0.53,0.41,3.83,0,9.55,0,0.7,194,0.24,14,76,123,66,0.39,0.075,0.062,3.4,227,63,64,11,0,0.04,0,0,0,0,0,0,0,0.045,0.565,0.164,0.539,0.024,2,0.33,0,8,1.177,11.43
"Yogurt, fruit, lowfat, with low calorie sweetener",4.86,1.41,18.6,105,0,0,0,0,0,2.9,0,0,152,0.07,16,133,194,58,0.82,0.08,0.065,3.1,443,131,131,4,0,0.06,0,0,0,0,0,0,0.7,0.041,0.18,0.105,0.544,0.045,10,0.52,15.2,6,0.909,18.6
"Cheese, parmesan, dry grated, reduced fat",20,20,1.37,265,0,0,0,0,0,0,0,0,1109,0.9,38,729,125,1529,3.87,0.238,0.085,17.7,605,156,160,51,0,0.17,0.4,0,0.4,0,0,0,0,0.029,0.486,0.114,0.325,0.049,10,2.26,20.7,88,13.317,1.37
"Cream substitute, flavored, liquid",0.69,13.5,35.07,251,0,0,0,0,0,33.04,0,1.1,6,0.59,19,28,96,67,0.25,0.142,0.142,0.7,0,0,0,0,0,1.58,0,0,0,0,0,1,0,0.004,0.024,0.091,0.01,0.004,1,0,0.5,0,2.635,33.97
"Cream substitute, flavored, powdered",0.68,21.47,75.42,482,0,0,0,0,0,58.01,0,1.2,5,0.63,17,28,90,123,0.23,0.135,0.14,1.3,0,0,0,0,0,0.41,0,0,0,0,0,1,0,0.004,0.027,0.084,0.009,0.004,1,0,0.5,0,19.446,74.22
"Cheese, provolone, reduced fat",24.7,17.6,3.5,274,0,0,0,0,0,0.55,0,0,756,0.52,28,496,138,615,3.23,0.026,0.01,14.5,532,137,141,45,0,0.15,0.3,0,0.3,0,0,0,0,0.019,0.321,0.156,0.476,0.073,10,1.46,12.9,55,11.3,3.5
"Cheese, Mexican, blend, reduced fat",24.69,19.4,3.41,282,0,0,0,0,0,0.56,0,0,1146,0.13,35,583,93,776,4.3,0.021,0,15.5,586,151,155,50,0,0.17,0.4,0,0.4,0,0,0,0,0.03,0.3,0.06,0,0.084,20,1.66,13.5,62,11.58,3.41
"Egg Mix, USDA Commodity",35.6,34.5,23.97,555,0,0.64,0,0,1.81,2.46,0,0,171,3.23,11,451,373,576,2.76,0.149,0.056,118,398,116,117,0,0,2.04,7.4,0,7.4,13,0,0,0,0.19,1.277,0.267,6.5,0.207,138,2.9,602.5,975,10.305,23.97
"Milk, whole, 3.25% milkfat, without added vitamin A and vitamin D",3.15,3.27,4.78,61,0,0,0,5.05,0,5.05,0,0,113,0.03,10,84,132,43,0.37,0.025,0.004,3.7,162,45,46,7,0,0.07,0.1,0,0.1,0,0,0,0,0.046,0.169,0.089,0.373,0.036,5,0.45,14.3,10,1.865,4.78
"Milk, dry, whole, without added vitamin D",26.32,26.71,38.42,496,0,0,0,0,0,38.42,0,0,912,0.47,85,776,1330,371,3.34,0.08,0.04,16.3,934,253,258,55,0,0.58,0.5,0,0.5,0,0,0,8.6,0.283,1.205,0.646,2.271,0.302,37,3.25,117.4,97,16.742,38.42
